,A1,A2,A3,A4,B1,B2,B3,B4,B5,B6,B7,B8,C,Y,Z,Del
A1,0,1,3,3,6,6,6,6,6,6,6,2,6,6,0,4.2
A2,1,0,3,3,6,6,6,6,6,6,6,2,6,6,0,4.2
A3,2,2,0,1,6,6,6,6,6,6,6,2,6,6,0,4.06666666666667
A4,2,2,1,0,6,6,6,6,6,6,6,2,6,6,0,4.06666666666667
B1,4,4,4,4,0,1,1,1,1,1,1,6,6,6,0,2.66666666666667
B2,4,4,4,4,1,0,1,1,1,1,1,6,6,6,0,2.66666666666667
B3,4,4,4,4,1,1,0,1,1,1,1,6,6,6,0,2.66666666666667
B4,4,4,4,4,1,1,1,0,1,1,1,6,6,6,0,2.66666666666667
B5,4,4,4,4,1,1,1,1,0,1,1,6,6,6,0,2.66666666666667
B6,4,4,4,4,1,1,1,1,1,0,1,6,6,6,0,2.66666666666667
B7,4,4,4,4,1,1,1,1,1,1,0,6,6,6,0,2.66666666666667
B8,6,6,6,6,6,6,6,6,6,6,6,0,6,6,0,5.2
C,3,3,3,6,2,2,2,2,2,2,2,6,0,5,0,2.66666666666667
Y,3,3,3,6,2,2,2,2,2,2,2,6,6,0,0,2.73333333333333
Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ins,3,3,3.13333333333333,3.53333333333333,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,4.13333333333333,5.2,5.13333333333333,0,